datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-16 00:25:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2343.75,2338.27,2199.41
2021-04-16 02:10:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,105.76,1434.03,1176.47
2021-04-16 02:10:00 UTC,77.41.190.0,77.41.190.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,94.55,180.72,225.28
2021-04-16 02:10:00 UTC,188.17.100.0,188.17.96.0/20,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,120.77,3444.32,5576.21
2021-04-16 02:10:00 UTC,2a00:1fa3:665::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,87.63,1441.61,393.44
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,10204.08,9803.92,12195.12
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,10380.62,9646.3,10600.71
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,10638.3,12195.12,10000.0
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,10676.16,10989.01,12048.19
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,10869.57,12048.19,9433.96
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,11450.38,12096.77,8333.33
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,11538.46,9740.26,11764.71
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,12096.77,12048.19,13574.66
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,12244.9,11857.71,10948.91
2021-04-16 02:35:00 UTC,92.255.138.0,92.255.138.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,12244.9,9803.92,12000.0
