datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-06 00:00:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,108.82,914.63,1048.58
2021-04-06 00:25:00 UTC,92.37.142.0,92.37.142.0/23,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,109.01,1310.62,1294.78
2021-04-06 00:35:00 UTC,2a00:1fa0:22a::,2a00:1fa0::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,118.59,8086.25,8474.58
2021-04-06 00:35:00 UTC,2a00:1fa0:22a::,2a00:1fa0::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,120.53,3931.85,5102.04
2021-04-06 00:55:00 UTC,94.232.52.0,94.232.48.0/21,48100,RU,MTS PJSC,ORG-ZM1-RIPE,4,3006.01,1479.29,598.32
2021-04-06 00:55:00 UTC,94.232.52.0,94.232.48.0/21,48100,RU,MTS PJSC,ORG-ZM1-RIPE,4,7614.21,3537.74,1727.12
2021-04-06 01:05:00 UTC,91.235.147.0,91.235.147.0/24,57808,RU,SAT-DV LLC,ORG-SATD2-RIPE,4,3167.9,3147.95,2970.3
2021-04-06 01:45:00 UTC,31.173.241.0,31.173.240.0/23,31205,RU,PJSC MegaFon,ORG-OM1-RIPE,4,114.35,2365.93,3030.3
2021-04-06 01:45:00 UTC,89.113.101.0,89.113.101.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,101.89,1201.44,1378.68
2021-04-06 01:50:00 UTC,37.113.4.0,37.113.4.0/22,50542,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,114.27,7042.25,8042.9
2021-04-06 01:50:00 UTC,2a00:1fa3:559::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,84.92,1162.79,1049.69
2021-04-06 02:05:00 UTC,37.20.213.0,37.20.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2212.39,2028.4,2020.2
2021-04-06 02:10:00 UTC,2a00:1fa3:4208::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,118.73,709.89,736.2
2021-04-06 02:40:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,98.66,1413.09,1417.77
2021-04-06 03:10:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,3161.22,2000.0,1827.04
2021-04-06 03:30:00 UTC,37.110.108.0,37.110.0.0/17,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,7334.96,4716.98,4366.81
2021-04-06 03:45:00 UTC,8.41.37.0,8.41.37.0/24,13335,US,"Cloudflare, Inc.",CLOUD14-ARIN,4,2297.09,1515.92,1821.49
2021-04-06 03:45:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,103.51,1584.79,1727.12
2021-04-06 03:50:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,5000.0,4491.02,4126.55
2021-04-06 04:20:00 UTC,185.126.129.0,185.126.129.0/24,12737,RU,"KrasPromStroy, LLC",ORG-KL237-RIPE,4,108.99,2228.83,1131.65
2021-04-06 04:30:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2617.8,1738.12,2257.34
2021-04-06 04:50:00 UTC,85.26.234.0,85.26.234.0/23,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,112.96,3167.9,3397.51
2021-04-06 04:50:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,106.56,1328.61,1732.1
2021-04-06 04:50:00 UTC,95.153.138.0,95.153.138.0/23,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,2729.75,2012.07,2108.22
2021-04-06 04:50:00 UTC,2a00:1fa1:4202::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,2331.0,1238.13,2661.93
2021-04-06 04:50:00 UTC,2a00:1fa1:4202::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,3610.11,2785.52,3134.8
2021-04-06 04:55:00 UTC,134.122.43.0,134.122.32.0/20,14061,US,"DigitalOcean, LLC",DO-13-ARIN,4,1073.35,650.9,578.82
2021-04-06 05:10:00 UTC,95.161.246.0,95.161.240.0/20,39598,AG,Global Network Management Inc,ORG-GNMI1-RIPE,4,104.92,4731.86,6211.18
2021-04-06 05:20:00 UTC,5.167.160.0,5.167.160.0/22,41727,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,2824.86,2248.88,2887.39
2021-04-06 05:25:00 UTC,176.59.138.0,176.59.128.0/19,41330,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,114.92,1678.79,1806.14
2021-04-06 05:35:00 UTC,37.29.40.0,37.29.40.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,93.64,1303.21,1794.26
2021-04-06 05:35:00 UTC,80.83.235.0,80.83.235.0/24,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,114.8,956.02,1172.79
2021-04-06 05:40:00 UTC,109.236.236.0,109.236.236.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,117.26,726.39,929.08
2021-04-06 05:40:00 UTC,213.151.9.0,213.151.9.0/24,31499,RU,Ekaterinburg-2000 LLC,ORG-EL8-RIPE,4,2259.04,2564.1,1680.67
2021-04-06 05:40:00 UTC,217.66.157.0,217.66.152.0/21,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,109.25,5235.6,4823.15
2021-04-06 05:40:00 UTC,2a00:1fa2:42e8::,2a00:1fa2::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,117.95,2188.18,2906.98
2021-04-06 05:45:00 UTC,185.126.129.0,185.126.129.0/24,12737,RU,"KrasPromStroy, LLC",ORG-KL237-RIPE,4,108.65,2806.36,3826.53
2021-04-06 05:45:00 UTC,217.66.157.0,217.66.152.0/21,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,4026.85,4716.98,4545.45
2021-04-06 05:50:00 UTC,185.126.129.0,185.126.129.0/24,12737,RU,"KrasPromStroy, LLC",ORG-KL237-RIPE,4,114.97,2400.0,4746.84
2021-04-06 05:50:00 UTC,185.126.129.0,185.126.129.0/24,12737,RU,"KrasPromStroy, LLC",ORG-KL237-RIPE,4,115.59,3554.5,3492.43
2021-04-06 05:50:00 UTC,2a00:1fa1:4202::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,2553.19,3033.37,3229.28
2021-04-06 05:50:00 UTC,2a00:1fa1:4202::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,7481.3,3601.44,5464.48
2021-04-06 05:55:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,90.64,806.67,1159.64
2021-04-06 05:55:00 UTC,91.122.30.0,91.122.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,4120.88,2944.06,4065.04
2021-04-06 05:55:00 UTC,91.122.30.0,91.122.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,6960.56,5769.23,5976.1
2021-04-06 05:55:00 UTC,178.176.214.0,178.176.214.0/24,31163,RU,PJSC MegaFon,ORG-OM1-RIPE,4,101.75,2643.17,2946.95
2021-04-06 05:55:00 UTC,2a00:1fa1:4131::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,3631.96,4016.06,3267.97
2021-04-06 05:55:00 UTC,2a00:1fa1:4131::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,7712.08,3311.26,4255.32
2021-04-06 05:55:00 UTC,2a00:1fa1:4131::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,8849.56,6134.97,6276.15
2021-04-06 05:55:00 UTC,2a00:1fa1:4131::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,9523.81,6944.44,5347.59
2021-04-06 05:55:00 UTC,2a00:1fa1:4131::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,9646.3,5172.41,3208.56
