datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-22 00:00:00 UTC,95.30.194.0,95.30.192.0/21,3216,RU,"PJSC ""Vimpelcom""",ORG-ES15-RIPE,4,5000.0,7246.38,2202.64
2021-04-22 00:00:00 UTC,196.196.216.0,196.196.216.0/24,58065,SE,Packet Exchange Limited,ORG-PEL9-RIPE,4,4484.3,4076.09,8522.73
2021-04-22 00:05:00 UTC,81.9.113.0,81.9.113.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,104.32,1023.89,1149.87
2021-04-22 00:10:00 UTC,2a00:1fa3:513::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,103.65,1434.03,1417.77
2021-04-22 00:20:00 UTC,109.196.66.0,109.196.64.0/22,44056,RU,Trytech Ltd.,ORG-TL89-RIPE,4,7334.96,8474.58,6185.57
2021-04-22 00:20:00 UTC,109.196.66.0,109.196.64.0/22,44056,RU,Trytech Ltd.,ORG-TL89-RIPE,4,25423.73,20979.02,21428.57
2021-04-22 00:25:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2106.74,2351.1,2518.89
2021-04-22 01:45:00 UTC,37.78.162.0,37.78.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,102.08,7194.24,8287.29
2021-04-22 01:45:00 UTC,37.78.162.0,37.78.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,106.41,4531.72,3937.01
2021-04-22 03:10:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,3699.14,2427.18,3154.57
2021-04-22 03:30:00 UTC,2.62.99.0,2.62.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,1479.29,2714.93,1155.18
2021-04-22 03:30:00 UTC,62.212.239.0,62.212.239.0/24,29049,AZ,Delta Telecom Ltd,ORG-AL1-RIPE,4,1849.57,1285.9,1069.9
2021-04-22 03:45:00 UTC,94.181.192.0,94.181.192.0/22,41727,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,5988.02,3906.25,4143.65
2021-04-22 04:55:00 UTC,85.249.161.0,85.249.160.0/20,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,109.55,3546.1,3546.1
