datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-01 00:00:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,97.69,850.82,935.16
2021-04-01 00:30:00 UTC,95.154.87.0,95.154.80.0/21,44724,RU,Octopusnet LTD,ORG-OL46-RIPE,4,2362.2,2145.92,2159.83
2021-04-01 00:50:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,97.5,861.57,1103.35
2021-04-01 01:45:00 UTC,176.59.33.0,176.59.32.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,103.2,4754.36,5172.41
2021-04-01 01:50:00 UTC,188.232.122.0,188.232.120.0/22,41843,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,16853.93,6315.79,5281.69
2021-04-01 02:15:00 UTC,188.191.0.0,188.191.0.0/20,42742,RU,InterkamService LLC,ORG-IL570-RIPE,4,2064.69,1832.62,1829.27
2021-04-01 02:20:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,90.82,749.06,903.07
2021-04-01 03:10:00 UTC,88.200.136.0,88.200.136.0/23,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3363.23,2245.51,4304.16
2021-04-01 03:25:00 UTC,159.255.7.0,159.255.0.0/20,41789,RU,LLC Teledyne Systems Limited,ORG-LTSL1-RIPE,4,2197.8,1263.69,1531.39
2021-04-01 03:40:00 UTC,2a00:1fa2:c46a::,2a00:1fa2:c460::/44,28884,RU,MTS PJSC,ORG-ZM1-RIPE,4,103.54,329.56,939.26
2021-04-01 03:45:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,2283.11,1976.28,1769.91
2021-04-01 03:55:00 UTC,109.173.18.0,109.173.0.0/17,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,4504.5,9174.31,10869.57
2021-04-01 03:55:00 UTC,213.87.159.0,213.87.128.0/19,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,113.17,5154.64,4335.26
2021-04-01 04:05:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,5415.16,4437.87,4392.39
2021-04-01 04:20:00 UTC,109.252.14.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,7317.07,8902.08,8356.55
2021-04-01 04:35:00 UTC,176.59.55.0,176.59.52.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,121.74,5747.13,4823.15
2021-04-01 04:40:00 UTC,80.79.116.0,80.79.112.0/20,34702,EE,Aktsiaselts WaveCom,ORG-AW4-RIPE,4,6550.22,4000.0,4777.07
2021-04-01 04:40:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3115.26,3460.21,2988.05
2021-04-01 04:40:00 UTC,89.113.102.0,89.113.102.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,68.09,102.32,344.19
2021-04-01 04:40:00 UTC,176.59.112.0,176.59.96.0/19,48092,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,99.98,977.84,2316.6
