datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-12 00:00:00 UTC,81.9.113.0,81.9.113.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,66.37,192.52,202.16
2021-04-12 00:00:00 UTC,2a00:1fa3:55f::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,111.02,1493.28,1385.68
2021-04-12 00:05:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,97.76,1067.62,1253.13
2021-04-12 00:35:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,104.07,1389.53,1522.84
2021-04-12 00:40:00 UTC,2a00:1fa3:646::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,107.12,1642.94,1659.29
2021-04-12 01:10:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,108.58,1497.75,1597.44
2021-04-12 01:45:00 UTC,188.233.158.0,188.233.156.0/22,39435,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,2564.1,2879.08,3012.05
2021-04-12 02:45:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,100.82,1094.09,1277.14
2021-04-12 02:45:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2803.74,1777.25,2117.15
2021-04-12 03:05:00 UTC,31.134.241.0,31.134.240.0/23,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,4016.06,1609.44,1828.15
2021-04-12 03:25:00 UTC,212.164.38.0,212.164.38.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,5366.73,3931.85,3592.81
2021-04-12 03:55:00 UTC,62.192.41.0,62.192.32.0/19,39775,RU,Limited Liability Company HyperNet,ORG-LLCH2-RIPE,4,3694.58,5565.86,4709.58
