datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-19 00:50:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,100.29,911.58,833.56
2021-04-19 00:55:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,1661.13,1190.95,1283.7
2021-04-19 03:10:00 UTC,2a00:1fa3:610::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,99.04,951.17,1076.81
2021-04-19 03:35:00 UTC,31.134.240.0,31.134.240.0/23,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,3754.69,1176.93,1803.97
2021-04-19 03:40:00 UTC,89.113.102.0,89.113.102.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,29.32,865.55,868.56
2021-04-19 03:50:00 UTC,89.113.101.0,89.113.101.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,95.86,352.32,400.43
2021-04-19 04:25:00 UTC,5.35.115.0,5.35.64.0/18,31514,RU,OOO Trivon Networks,ORG-OTN1-RIPE,4,131.53,3456.22,3722.08
2021-04-19 04:35:00 UTC,85.249.160.0,85.249.160.0/20,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,107.77,3325.94,3579.95
2021-04-19 04:55:00 UTC,2a00:1fa1:43df::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,2650.18,1057.08,1768.87
2021-04-19 05:05:00 UTC,109.252.101.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,9554.14,6741.57,7894.74
2021-04-19 05:25:00 UTC,188.170.83.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,112.67,1194.74,3558.72
2021-04-19 05:30:00 UTC,217.66.157.0,217.66.152.0/21,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,117.19,2421.31,5917.16
2021-04-19 05:40:00 UTC,83.139.147.0,83.139.128.0/18,6856,RU,IC-VORONEZH,ORG-IA49-RIPE,4,80.84,7352.94,6479.48
2021-04-19 05:45:00 UTC,94.25.228.0,94.25.228.0/23,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,114.69,3517.0,4615.38
2021-04-19 05:50:00 UTC,37.78.25.0,37.78.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,112.03,5586.59,5357.14
2021-04-19 05:50:00 UTC,85.26.233.0,85.26.232.0/23,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,1198.56,571.1,668.75
2021-04-19 05:50:00 UTC,2a00:1fa1:433e::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,1738.12,812.57,692.84
2021-04-19 05:55:00 UTC,85.249.160.0,85.249.160.0/20,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,104.08,3921.57,3588.52
2021-04-19 05:55:00 UTC,85.249.160.0,85.249.160.0/20,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,114.32,2090.59,2762.43
2021-04-19 05:55:00 UTC,2a00:1fa1:84::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,2044.99,2271.01,2238.81
2021-04-19 05:55:00 UTC,2a00:1fa1:43df::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,3092.78,3188.1,2367.8
2021-04-19 06:00:00 UTC,176.59.65.0,176.59.64.0/19,42437,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,112.06,2798.51,2307.69
2021-04-19 06:00:00 UTC,2a00:1fa1:43ae::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,463.61,1116.9,969.31
2021-04-19 06:00:00 UTC,2a00:1fa1:43ae::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,3468.21,2441.01,2311.25
2021-04-19 06:10:00 UTC,193.105.131.0,193.105.131.0/24,57842,RU,UralKonnektServis LLC,ORG-UL213-RIPE,4,6696.43,5555.56,5586.59
2021-04-19 06:10:00 UTC,2a00:1fa1:43b6::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,562.64,2493.77,2038.04
2021-04-19 06:40:00 UTC,95.153.135.0,95.153.134.0/23,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,286.31,239.96,985.87
2021-04-19 06:45:00 UTC,85.249.160.0,85.249.160.0/20,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,106.38,3708.28,2782.93
2021-04-19 06:45:00 UTC,2a00:1fa1:84::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,1631.32,1461.28,1118.99
2021-04-19 06:55:00 UTC,46.147.220.0,46.147.220.0/22,57378,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,7936.51,3947.37,4580.15
