datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-28 00:20:00 UTC,77.41.190.0,77.41.190.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,77.4,980.71,127.92
2021-04-28 00:20:00 UTC,2a00:1fa3:637::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,101.23,1532.96,1298.14
2021-04-28 00:30:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3058.1,1358.7,1921.84
2021-04-28 00:35:00 UTC,85.26.241.0,85.26.241.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,99.84,984.25,977.2
2021-04-28 00:50:00 UTC,84.39.247.0,84.39.246.0/23,57128,RU,"JSC ""Ufanet""",ORG-ZS2-RIPE,4,94.3,9433.96,11194.03
2021-04-28 01:05:00 UTC,85.15.82.0,85.15.64.0/18,34896,RU,Vostoktelecom Telephone Company Limited Liability Company,ORG-VTCL1-RIPE,4,3906.25,1696.83,1838.24
2021-04-28 03:10:00 UTC,31.134.241.0,31.134.240.0/23,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,996.02,1878.52,2084.78
2021-04-28 03:10:00 UTC,31.134.241.0,31.134.240.0/23,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,1220.01,3174.6,3006.01
2021-04-28 04:25:00 UTC,89.113.102.0,89.113.102.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,92.64,700.93,1141.12
2021-04-28 04:35:00 UTC,94.181.192.0,94.181.192.0/22,41727,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,109.48,105.09,3703.7
2021-04-28 04:35:00 UTC,94.181.192.0,94.181.192.0/22,41727,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,113.51,4431.31,5802.71
2021-04-28 04:45:00 UTC,37.193.121.0,37.193.0.0/16,31200,RU,Novotelecom Ltd,ORG-NL9-RIPE,4,99.28,4237.29,4975.12
2021-04-28 04:55:00 UTC,188.187.180.0,188.187.180.0/22,41786,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,5474.45,342.66,2448.98
2021-04-28 04:55:00 UTC,188.187.180.0,188.187.180.0/22,41786,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,19230.77,11278.2,12875.54
2021-04-28 04:55:00 UTC,188.187.180.0,188.187.180.0/22,41786,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,20134.23,10416.67,12396.69
2021-04-28 04:55:00 UTC,2a00:1fa1:40ab::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,6535.95,1350.14,1666.67
2021-04-28 05:00:00 UTC,2a00:1fa1:40ab::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,3386.0,2577.32,2572.9
