datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-05-02 01:35:00 UTC,79.165.46.0,79.165.0.0/16,8615,RU,"""Central Telegraph"" Public Joint-stock Company",ORG-CT3-RIPE,4,9554.14,2448.98,3121.75
2021-05-02 04:15:00 UTC,126.64.146.0,126.64.0.0/16,17676,JP,Softbank BB Corp.,@aut-17676-JPNIC,4,956.63,430.91,537.06
2021-05-02 05:25:00 UTC,37.204.31.0,37.204.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,8620.69,12195.12,11718.75
2021-05-02 05:25:00 UTC,83.220.237.0,83.220.236.0/22,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,95.82,2120.14,3337.04
2021-05-02 05:30:00 UTC,37.204.31.0,37.204.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,28846.15,12987.01,15706.81
2021-05-02 06:20:00 UTC,212.188.44.0,212.188.0.0/17,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,3468.21,1311.76,1016.26
2021-05-02 06:55:00 UTC,109.252.191.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,1083.82,733.5,1715.27
2021-05-02 07:00:00 UTC,188.170.78.0,188.170.72.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,109.5,2441.01,2788.1
2021-05-02 07:05:00 UTC,188.170.78.0,188.170.72.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,110.03,3070.62,3680.98
2021-05-02 07:10:00 UTC,188.170.78.0,188.170.72.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,5025.13,4746.84,4291.85
2021-05-02 07:30:00 UTC,91.122.30.0,91.122.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3821.66,3717.47,3978.78
2021-05-02 07:30:00 UTC,185.211.159.0,185.211.159.0/24,205638,RU,Tinkoff Bank JSC,ORG-TBJ1-RIPE,4,1597.44,3579.95,3401.36
2021-05-02 07:35:00 UTC,91.122.30.0,91.122.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,6993.01,4651.16,5928.85
2021-05-02 07:35:00 UTC,91.122.30.0,91.122.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,7389.16,5050.51,5628.52
2021-05-02 07:35:00 UTC,185.211.159.0,185.211.159.0/24,205638,RU,Tinkoff Bank JSC,ORG-TBJ1-RIPE,4,1873.83,4103.97,3880.98
2021-05-02 07:35:00 UTC,188.162.201.0,188.162.192.0/20,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,104.99,1748.25,1892.74
2021-05-02 07:50:00 UTC,5.18.233.0,5.18.232.0/22,41733,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,16759.78,3764.12,2435.06
2021-05-02 08:00:00 UTC,92.37.143.0,92.37.142.0/23,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,107.65,2579.54,2724.8
2021-05-02 08:15:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,113.43,2323.78,3584.23
2021-05-02 08:35:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,112.44,4823.15,5366.73
2021-05-02 08:35:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,129.23,6109.98,5050.51
2021-05-02 09:35:00 UTC,134.19.155.0,134.19.155.0/24,50477,RU,Svyaz-Energo Ltd.,ORG-SL255-RIPE,4,117.65,2780.35,2906.98
2021-05-02 09:45:00 UTC,5.165.80.0,5.165.80.0/22,57044,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,96.07,4219.41,6896.55
2021-05-02 09:50:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,104.17,3444.32,4531.72
2021-05-02 09:50:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,115.92,4909.98,4622.5
2021-05-02 09:55:00 UTC,135.181.111.0,135.181.0.0/16,24940,DE,Hetzner Online GmbH,ORG-HOA1-RIPE,4,2027.03,2039.43,2047.78
2021-05-02 09:55:00 UTC,135.181.111.0,135.181.0.0/16,24940,DE,Hetzner Online GmbH,ORG-HOA1-RIPE,4,3428.57,2970.3,2109.7
2021-05-02 11:35:00 UTC,94.25.229.0,94.25.228.0/23,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,103.59,1302.08,2443.0
2021-05-02 11:35:00 UTC,2001:67c:2660::,2001:67c:2660::/48,205016,NL,HERN Labs AB,ORG-HLA24-RIPE,4,3409.09,2654.87,3658.54
2021-05-02 12:15:00 UTC,176.59.195.0,176.59.192.0/19,48190,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,95.23,3978.78,3271.54
2021-05-02 12:20:00 UTC,176.59.195.0,176.59.192.0/19,48190,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,94.81,2946.95,3303.96
2021-05-02 12:30:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,102.42,3289.47,4566.21
2021-05-02 12:35:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,94.02,6622.52,6276.15
2021-05-02 12:35:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,108.48,4846.53,4411.76
2021-05-02 12:35:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,113.08,6060.61,6289.31
2021-05-02 12:35:00 UTC,188.170.80.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,123.89,4615.38,5882.35
2021-05-02 13:15:00 UTC,176.59.16.0,176.59.0.0/19,15378,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,112.22,2286.59,2835.54
2021-05-02 13:25:00 UTC,109.194.51.0,109.194.48.0/20,59713,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,83.77,14285.71,30000.0
2021-05-02 14:00:00 UTC,78.85.190.0,78.85.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,114.37,3623.19,10830.32
2021-05-02 14:55:00 UTC,176.196.100.0,176.196.0.0/15,39927,RU,E-Light-Telecom Ltd.,ORG-EA385-RIPE,4,108.38,1551.19,1608.58
2021-05-02 15:25:00 UTC,178.161.223.0,178.161.223.0/24,65111,,,,4,6550.22,5272.41,8021.39
2021-05-02 16:25:00 UTC,84.53.229.0,84.53.229.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,108.42,4792.33,3024.19
2021-05-02 16:30:00 UTC,79.133.66.0,79.133.64.0/19,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3496.5,7317.07,7462.69
2021-05-02 16:40:00 UTC,2a09:bac0:128::,2a09:bac0:128::/48,13335,US,"Cloudflare, Inc.",CLOUD14-ARIN,4,4966.89,3222.34,3229.28
2021-05-02 16:50:00 UTC,94.233.241.0,94.233.240.0/21,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,7712.08,6198.35,4769.48
2021-05-02 16:55:00 UTC,185.74.104.0,185.74.104.0/23,49342,RU,"OOO ""MediaSeti""",ORG-CCM2-RIPE,4,2697.84,3131.52,6651.88
2021-05-02 17:00:00 UTC,46.237.19.0,46.237.16.0/20,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,114.54,8152.17,12605.04
2021-05-02 17:30:00 UTC,145.255.1.0,145.255.0.0/23,24955,RU,"JSC ""Ufanet""",ORG-ZS2-RIPE,4,101.7,5084.75,4491.02
2021-05-02 19:10:00 UTC,217.30.174.0,217.30.160.0/20,39032,UZ,East Telecom,ORG-ET10-RIPE,4,29411.76,4021.45,4115.23
2021-05-02 19:10:00 UTC,217.30.174.0,217.30.160.0/20,39032,UZ,East Telecom,ORG-ET10-RIPE,4,428571.43,6382.98,6369.43
2021-05-02 19:10:00 UTC,217.30.174.0,217.30.160.0/20,39032,UZ,East Telecom,ORG-ET10-RIPE,4,428571.43,6342.49,7389.16
2021-05-02 19:10:00 UTC,217.30.174.0,217.30.160.0/20,39032,UZ,East Telecom,ORG-ET10-RIPE,4,500000.0,7334.96,7614.21
2021-05-02 19:20:00 UTC,91.241.118.0,91.241.116.0/22,51180,UA,Lanet Network Ltd,ORG-LNL15-RIPE,4,8522.73,5905.51,1786.78
2021-05-02 19:20:00 UTC,91.241.118.0,91.241.116.0/22,51180,UA,Lanet Network Ltd,ORG-LNL15-RIPE,4,9615.38,6250.0,2321.98
2021-05-02 19:20:00 UTC,176.59.135.0,176.59.128.0/19,41330,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,111.35,1642.04,1725.13
2021-05-02 19:20:00 UTC,195.88.179.0,195.88.178.0/23,49098,RU,Studio NOVA LLC,ORG-NOVA3-RIPE,4,2120.14,2305.92,874.13
2021-05-02 19:35:00 UTC,92.55.11.0,92.55.0.0/18,3226,RU,"OOO ""NI""",ORG-CCM1-RIPE,4,4267.43,2172.34,3303.96
2021-05-02 19:55:00 UTC,2001:67c:2660::,2001:67c:2660::/48,205016,NL,HERN Labs AB,ORG-HLA24-RIPE,4,1143.73,3006.01,3076.92
2021-05-02 20:10:00 UTC,178.204.175.0,178.204.128.0/18,28840,RU,"PJSC ""TATTELECOM""",ORG-OT4-RIPE,4,105.23,4769.48,4054.05
2021-05-02 23:00:00 UTC,195.226.203.0,195.226.203.0/24,47579,RU,MTS PJSC,ORG-ZM1-RIPE,4,7894.74,6302.52,8902.08
2021-05-02 23:00:00 UTC,195.226.203.0,195.226.203.0/24,47579,RU,MTS PJSC,ORG-ZM1-RIPE,4,31914.89,21276.6,21126.76
2021-05-02 23:45:00 UTC,31.173.120.0,31.173.120.0/24,31224,RU,PJSC MegaFon,ORG-OM1-RIPE,4,103.31,4081.63,4043.13
2021-05-02 23:55:00 UTC,5.16.125.0,5.16.124.0/22,51570,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,18987.34,5586.59,3311.26
