datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-05-19 01:10:00 UTC,37.204.49.0,37.204.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,19607.84,11673.15,16666.67
2021-05-19 01:40:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,445.04,887.05,338.75
2021-05-19 01:55:00 UTC,2a00:1fa2:c495::,2a00:1fa2:c490::/44,28884,RU,MTS PJSC,ORG-ZM1-RIPE,4,115.73,1640.24,2102.31
2021-05-19 02:45:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2661.93,482.08,505.48
2021-05-19 02:50:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,1613.77,219.81,700.28
2021-05-19 02:50:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,3480.28,920.53,1484.41
2021-05-19 02:50:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,5172.41,2373.42,1737.12
2021-05-19 02:50:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,5484.46,222.75,166.92
2021-05-19 02:50:00 UTC,176.104.128.0,176.104.128.0/21,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,7159.9,395.31,317.49
2021-05-19 03:20:00 UTC,185.61.172.0,185.61.172.0/23,34757,RU,Sibirskie Seti Ltd.,ORG-CNL7-RIPE,4,3496.5,3658.54,4000.0
2021-05-19 03:25:00 UTC,176.59.134.0,176.59.128.0/19,41330,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,107.63,2114.16,1778.3
2021-05-19 03:30:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3389.83,3472.22,3496.5
2021-05-19 03:30:00 UTC,2a00:1fa3:4206::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,123.03,1685.39,2356.64
2021-05-19 03:45:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,1366.12,395.47,433.09
2021-05-19 03:45:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,1592.36,2199.41,1882.06
2021-05-19 03:55:00 UTC,185.210.142.0,185.210.142.0/23,31205,RU,PJSC MegaFon,ORG-OM1-RIPE,4,113.92,1936.73,1958.22
2021-05-19 04:30:00 UTC,83.139.147.0,83.139.128.0/18,6856,RU,IC-VORONEZH,ORG-IA49-RIPE,4,7731.96,6060.61,6437.77
2021-05-19 04:35:00 UTC,185.3.32.0,185.3.32.0/23,31163,RU,PJSC MegaFon,ORG-OM1-RIPE,4,104.31,608.52,1588.14
2021-05-19 04:45:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2265.86,2262.44,1930.5
2021-05-19 04:45:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2629.27,1695.87,2873.56
2021-05-19 04:45:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2754.82,2038.04,2671.42
2021-05-19 04:50:00 UTC,37.29.41.0,37.29.41.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,91.76,1400.56,1577.29
2021-05-19 04:50:00 UTC,2a00:1fa3:554::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,111.7,1695.87,1664.82
2021-05-19 04:55:00 UTC,94.19.62.0,94.19.48.0/20,35807,RU,SkyNet Ltd.,ORG-SA582-RIPE,4,20000.0,5607.48,5703.42
2021-05-19 05:00:00 UTC,2a00:1fa0:8428::,2a00:1fa0:8000::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,4385.96,4249.29,4026.85
2021-05-19 05:05:00 UTC,37.29.41.0,37.29.41.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,99.55,1509.81,1452.08
2021-05-19 05:05:00 UTC,80.83.235.0,80.83.235.0/24,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,122.63,608.77,613.62
2021-05-19 05:05:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2252.25,1893.94,2001.33
2021-05-19 05:05:00 UTC,2a00:1fa3:4206::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,118.81,236.33,182.25
2021-05-19 05:05:00 UTC,2a00:1fa3:4206::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,122.9,527.98,610.5
2021-05-19 05:15:00 UTC,178.49.96.0,178.49.0.0/17,31200,RU,Novotelecom Ltd,ORG-NL9-RIPE,4,5309.73,5758.16,4347.83
2021-05-19 05:15:00 UTC,178.49.96.0,178.49.0.0/17,31200,RU,Novotelecom Ltd,ORG-NL9-RIPE,4,10909.09,7894.74,8403.36
2021-05-19 05:20:00 UTC,87.226.213.0,87.226.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2338.27,1932.99,2074.69
2021-05-19 05:45:00 UTC,2a00:1fa1:4270::,2a00:1fa1::/33,29497,RU,MTS PJSC,ORG-ZM1-RIPE,4,4457.65,2457.0,2717.39
