datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-05-15 00:30:00 UTC,46.39.51.0,46.39.32.0/19,15582,RU,OJSC Comcor,ORG-CA35-RIPE,4,7653.06,9493.67,13333.33
2021-05-15 00:30:00 UTC,46.39.51.0,46.39.32.0/19,15582,RU,OJSC Comcor,ORG-CA35-RIPE,4,27522.94,33707.87,33333.33
2021-05-15 00:30:00 UTC,46.39.51.0,46.39.32.0/19,15582,RU,OJSC Comcor,ORG-CA35-RIPE,4,28571.43,32608.7,34482.76
2021-05-15 05:45:00 UTC,185.90.100.0,185.90.100.0/24,47236,RU,CityLink Ltd,ORG-LLC9-RIPE,4,10169.49,5504.59,5825.24
2021-05-15 05:50:00 UTC,185.90.100.0,185.90.100.0/24,47236,RU,CityLink Ltd,ORG-LLC9-RIPE,4,16216.22,6302.52,8219.18
2021-05-15 06:05:00 UTC,176.213.190.0,176.213.188.0/22,52207,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,110.38,1582.28,13100.44
2021-05-15 07:25:00 UTC,37.204.49.0,37.204.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,14423.08,6289.31,11450.38
2021-05-15 08:10:00 UTC,94.25.170.0,94.25.168.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,73.02,5586.59,6122.45
2021-05-15 08:10:00 UTC,2a00:1370:8120::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,9036.14,5424.95,5736.14
2021-05-15 08:15:00 UTC,194.135.227.0,194.135.224.0/20,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,543.48,525.95,544.46
2021-05-15 09:00:00 UTC,217.114.234.0,217.114.234.0/23,3253,RU,"PJSC ""Vimpelcom""",ORG-ES15-RIPE,4,94.42,7672.63,14285.71
2021-05-15 09:05:00 UTC,31.173.80.0,31.173.80.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,103.52,1221.0,1079.53
2021-05-15 09:10:00 UTC,31.173.80.0,31.173.80.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,113.34,2123.14,1773.05
2021-05-15 09:10:00 UTC,31.173.80.0,31.173.80.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,121.09,989.77,944.58
2021-05-15 09:15:00 UTC,89.113.56.0,89.113.56.0/23,3216,RU,"PJSC ""Vimpelcom""",ORG-ES15-RIPE,4,4504.5,2884.62,2759.89
2021-05-15 09:15:00 UTC,188.170.195.0,188.170.195.0/24,31163,RU,PJSC MegaFon,ORG-OM1-RIPE,4,93.86,2169.2,3278.69
2021-05-15 09:20:00 UTC,31.8.14.0,31.8.0.0/16,28812,RU,"PJSC ""Bashinformsvyaz""",ORG-BC2-RIPE,4,81.48,6048.39,6622.52
2021-05-15 09:20:00 UTC,31.173.80.0,31.173.80.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,124.92,4160.89,3496.5
2021-05-15 09:20:00 UTC,84.39.247.0,84.39.246.0/23,57128,RU,"JSC ""Ufanet""",ORG-ZS2-RIPE,4,109.64,5484.46,12820.51
2021-05-15 09:20:00 UTC,92.124.205.0,92.124.205.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,118.28,3009.03,3121.75
2021-05-15 09:20:00 UTC,185.210.142.0,185.210.142.0/23,31205,RU,PJSC MegaFon,ORG-OM1-RIPE,4,111.59,2782.93,2566.3
2021-05-15 09:50:00 UTC,92.55.3.0,92.55.0.0/18,3226,RU,"OOO ""NI""",ORG-CCM1-RIPE,4,3164.56,2798.51,3851.09
2021-05-15 09:50:00 UTC,176.214.144.0,176.214.144.0/22,59713,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,120.41,1646.54,10416.67
2021-05-15 09:55:00 UTC,45.11.113.0,45.11.112.0/22,12668,RU,"LLC ""KomTehCentr""",ORG-EP3-RIPE,4,6593.41,4054.05,4037.69
2021-05-15 10:05:00 UTC,95.55.45.0,95.55.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,8547.01,8241.76,7481.3
2021-05-15 10:05:00 UTC,188.244.248.0,188.244.248.0/24,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,100.28,1314.06,991.74
2021-05-15 10:15:00 UTC,176.59.54.0,176.59.52.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,95.13,1688.24,3836.32
2021-05-15 10:25:00 UTC,152.89.163.0,152.89.163.0/24,9009,GB,M247 Ltd,ORG-GL37-RIPE,4,3901.17,4237.29,4261.36
2021-05-15 10:35:00 UTC,178.162.43.0,178.162.0.0/18,20807,RU,"JSC ""ER-Telecom Holding""",ORG-WCSP1-RIPE,4,12820.51,4098.36,8174.39
2021-05-15 13:25:00 UTC,37.29.41.0,37.29.41.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,96.65,1257.33,1664.82
2021-05-15 14:00:00 UTC,94.25.229.0,94.25.228.0/23,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,119.62,3496.5,4043.13
2021-05-15 14:00:00 UTC,94.25.229.0,94.25.228.0/23,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,119.82,2469.14,4405.29
2021-05-15 14:45:00 UTC,195.191.175.0,195.191.174.0/23,196938,RU,Krastelecom Ltd,ORG-KL69-RIPE,4,8086.25,14285.71,26785.71
2021-05-15 14:45:00 UTC,195.191.175.0,195.191.174.0/23,196938,RU,Krastelecom Ltd,ORG-KL69-RIPE,4,14851.49,31250.0,28846.15
2021-05-15 14:55:00 UTC,92.100.89.0,92.100.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,6756.76,3322.26,8522.73
2021-05-15 16:25:00 UTC,213.87.135.0,213.87.128.0/19,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,112.2,4491.02,4451.04
2021-05-15 16:25:00 UTC,2a01:4f8:c17::,2a01:4f8::/32,24940,DE,Hetzner Online GmbH,ORG-HOA1-RIPE,4,3627.57,2214.02,1799.64
2021-05-15 16:30:00 UTC,2a00:1370:812b::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,15625.0,7109.0,8130.08
2021-05-15 17:20:00 UTC,91.214.240.0,91.214.240.0/22,50473,RU,Altagen JSC,ORG-AC64-RIPE,4,10948.91,5405.41,5988.02
2021-05-15 17:25:00 UTC,176.59.43.0,176.59.40.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,109.72,2141.33,5000.0
2021-05-15 18:15:00 UTC,185.129.131.0,185.129.130.0/23,197175,RU,"Albina Anatoljevna Kolesnik, PE",ORG-AAKP1-RIPE,4,4373.18,5474.45,4909.98
2021-05-15 18:15:00 UTC,185.129.131.0,185.129.130.0/23,197175,RU,"Albina Anatoljevna Kolesnik, PE",ORG-AAKP1-RIPE,4,8174.39,7352.94,8403.36
2021-05-15 18:15:00 UTC,185.129.131.0,185.129.130.0/23,197175,RU,"Albina Anatoljevna Kolesnik, PE",ORG-AAKP1-RIPE,4,14150.94,7317.07,8042.9
2021-05-15 18:35:00 UTC,37.120.212.0,37.120.212.0/24,9009,GB,M247 Ltd,ORG-GL37-RIPE,4,2491.69,1347.71,1644.74
2021-05-15 18:40:00 UTC,128.72.0.0,128.72.0.0/14,8402,RU,"PJSC ""Vimpelcom""",ORG-CTAM1-RIPE,4,8522.73,4005.34,4243.28
2021-05-15 18:50:00 UTC,77.51.193.0,77.51.192.0/21,25515,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2149.0,1503.01,3517.0
2021-05-15 18:50:00 UTC,77.51.193.0,77.51.192.0/21,25515,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,4392.39,2367.8,4658.39
2021-05-15 19:00:00 UTC,95.55.63.0,95.55.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,5747.13,5154.64,12605.04
2021-05-15 19:30:00 UTC,109.252.29.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,3797.47,4189.94,3694.58
2021-05-15 20:10:00 UTC,178.214.250.0,178.214.250.0/23,24955,RU,"JSC ""Ufanet""",ORG-ZS2-RIPE,4,102.95,7614.21,13824.88
2021-05-15 20:15:00 UTC,178.214.250.0,178.214.250.0/23,24955,RU,"JSC ""Ufanet""",ORG-ZS2-RIPE,4,108.01,9316.77,12448.13
2021-05-15 20:25:00 UTC,212.3.155.0,212.3.128.0/19,35125,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,125.57,4379.56,4484.3
2021-05-15 20:40:00 UTC,135.181.39.0,135.181.0.0/16,24940,DE,Hetzner Online GmbH,ORG-HOA1-RIPE,4,1542.42,1821.49,2373.42
2021-05-15 21:15:00 UTC,188.170.82.0,188.170.80.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,114.21,4010.7,4477.61
2021-05-15 21:40:00 UTC,46.164.228.0,46.164.192.0/18,6856,RU,IC-VORONEZH,ORG-IA49-RIPE,4,53.88,4016.06,5347.59
2021-05-15 21:40:00 UTC,178.176.79.0,178.176.72.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,110.99,2279.64,3181.34
2021-05-15 21:40:00 UTC,2a00:1370:810e::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,7299.27,7407.41,7407.41
2021-05-15 21:45:00 UTC,95.165.173.0,95.165.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,5660.38,8403.36,7317.07
2021-05-15 21:45:00 UTC,176.59.55.0,176.59.52.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,96.66,1050.42,2597.4
2021-05-15 21:45:00 UTC,176.59.55.0,176.59.52.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,100.5,3397.51,5870.84
2021-05-15 21:45:00 UTC,2a00:1370:810e::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,10416.67,14018.69,15000.0
2021-05-15 21:45:00 UTC,2a00:1370:810e::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,11278.2,15000.0,14354.07
2021-05-15 21:45:00 UTC,2a00:1370:810e::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,50000.0,25210.08,25210.08
2021-05-15 21:45:00 UTC,2a00:1370:8129::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,10067.11,8196.72,13513.51
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,29702.97,4207.57,4310.34
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,375000.0,8196.72,7177.03
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,375000.0,7915.57,6960.56
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,428571.43,10135.14,11538.46
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,428571.43,7915.57,6976.74
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,428571.43,10169.49,11111.11
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,428571.43,10101.01,8875.74
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,500000.0,8174.39,8875.74
2021-05-15 22:00:00 UTC,62.209.140.0,62.209.128.0/19,34718,UZ,"LLC ""TEXNOPROSISTEM""",ORG-TA164-RIPE,4,500000.0,10238.91,9740.26
2021-05-15 22:25:00 UTC,176.213.190.0,176.213.188.0/22,52207,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,91.36,398.94,358.89
2021-05-15 22:35:00 UTC,94.229.106.0,94.229.104.0/21,39102,AG,Global Network Management Inc,ORG-GNMI1-RIPE,4,8241.76,8522.73,4048.58
2021-05-15 22:35:00 UTC,176.59.4.0,176.59.0.0/19,15378,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,103.45,3086.42,3359.46
2021-05-15 22:40:00 UTC,2.92.234.0,2.92.0.0/14,8402,RU,"PJSC ""Vimpelcom""",ORG-CTAM1-RIPE,4,7009.35,6302.52,5415.16
