datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-05-03 02:20:00 UTC,37.20.175.0,37.20.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2487.56,2557.54,2495.84
2021-05-03 04:35:00 UTC,5.167.161.0,5.167.160.0/22,41727,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,961.23,5093.38,4531.72
2021-05-03 04:40:00 UTC,5.167.161.0,5.167.160.0/22,41727,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,2830.19,5703.42,5905.51
2021-05-03 06:30:00 UTC,83.99.146.0,83.99.128.0/17,24651,LV,JSC BALTICOM,ORG-JB1-RIPE,4,7075.47,5586.59,9090.91
2021-05-03 06:45:00 UTC,178.176.73.0,178.176.72.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,116.44,2955.67,3921.57
2021-05-03 07:25:00 UTC,83.169.216.0,83.169.216.0/24,31224,RU,PJSC MegaFon,ORG-OM1-RIPE,4,102.67,987.17,1475.65
2021-05-03 09:15:00 UTC,94.25.182.0,94.25.176.0/20,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,96.77,2311.25,2873.56
2021-05-03 10:30:00 UTC,109.197.141.0,109.197.136.0/21,49120,RU,Gorset Ltd.,ORG-GL55-RIPE,4,4918.03,4237.29,4608.29
2021-05-03 10:50:00 UTC,46.147.82.0,46.147.80.0/22,42116,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,162.07,244.32,301.14
2021-05-03 11:30:00 UTC,95.55.63.0,95.55.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,7853.4,3802.28,3541.91
2021-05-03 12:10:00 UTC,82.102.22.0,82.102.22.0/24,9009,GB,M247 Ltd,ORG-GL37-RIPE,4,4405.29,2354.79,3229.28
2021-05-03 13:30:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,4846.53,5952.38,6060.61
2021-05-03 13:30:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,6355.93,5859.38,5628.52
2021-05-03 13:30:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,6535.95,3412.97,5681.82
2021-05-03 13:30:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,11952.19,8797.65,8403.36
2021-05-03 13:30:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,13157.89,8955.22,7915.57
2021-05-03 13:30:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,19108.28,8670.52,8108.11
2021-05-03 13:35:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,1899.94,6410.26,5415.16
2021-05-03 13:35:00 UTC,37.235.220.0,37.235.128.0/17,41268,RU,LANTA Ltd,ORG-LL49-RIPE,4,13043.48,3694.58,7425.74
2021-05-03 13:35:00 UTC,188.162.187.0,188.162.184.0/22,31163,RU,PJSC MegaFon,ORG-OM1-RIPE,4,108.52,1418.44,1689.19
2021-05-03 14:25:00 UTC,188.162.144.0,188.162.144.0/24,31163,RU,PJSC MegaFon,ORG-OM1-RIPE,4,115.83,2463.05,2283.11
