datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-03-13 00:00:00 UTC,31.173.100.0,31.173.100.0/24,31224,RU,PJSC MegaFon,ORG-OM1-RIPE,4,104.36,3787.88,3517.0
2021-03-13 00:00:00 UTC,77.82.37.0,77.82.32.0/20,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,108.24,2577.32,2581.76
2021-03-13 00:00:00 UTC,88.155.22.0,88.155.16.0/20,34058,UA,"Limited Liability Company ""lifecell""",ORG-LLC4-RIPE,4,3947.37,5494.51,6036.22
2021-03-13 00:00:00 UTC,92.124.206.0,92.124.206.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,114.84,2676.18,1886.79
2021-03-13 00:00:00 UTC,93.72.244.0,93.72.0.0/16,25229,UA,Kyivski Telekomunikatsiyni Merezhi LLC,ORG-VI4-RIPE,4,9230.77,8571.43,8823.53
2021-03-13 00:00:00 UTC,93.185.31.0,93.185.31.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,8670.52,8522.73,7462.69
2021-03-13 00:00:00 UTC,93.185.31.0,93.185.31.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,26315.79,12605.04,11070.11
2021-03-13 00:00:00 UTC,93.185.31.0,93.185.31.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,27522.94,12658.23,11111.11
2021-03-13 00:00:00 UTC,93.185.31.0,93.185.31.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,29126.21,12500.0,10989.01
2021-03-13 00:00:00 UTC,93.185.31.0,93.185.31.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,29411.76,12658.23,11194.03
2021-03-13 00:00:00 UTC,95.161.223.0,95.161.192.0/19,8492,RU,"""OBIT"" Ltd.",ORG-OL12-RIPE,4,104.2,7751.94,8219.18
2021-03-13 00:00:00 UTC,176.59.43.0,176.59.40.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,115.5,3432.49,1871.49
2021-03-13 00:00:00 UTC,176.59.129.0,176.59.128.0/19,41330,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,118.15,2553.19,2764.98
2021-03-13 00:00:00 UTC,176.59.129.0,176.59.128.0/19,41330,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,128.5,3558.72,3476.25
2021-03-13 00:00:00 UTC,178.163.73.0,178.163.0.0/17,8416,RU,Infoline Ltd.,ORG-IL14-RIPE,4,5386.0,8695.65,7109.0
2021-03-13 00:00:00 UTC,198.181.163.0,198.181.163.0/24,174,US,Cogent Communications,COGC-ARIN,4,1276.6,658.91,437.51
2021-03-13 00:00:00 UTC,213.151.8.0,213.151.8.0/24,31499,RU,Ekaterinburg-2000 LLC,ORG-EL8-RIPE,4,158.92,3151.26,3205.13
2021-03-13 00:00:00 UTC,217.138.194.0,217.138.194.0/24,9009,GB,M247 Ltd,ORG-GL37-RIPE,4,5988.02,2521.01,2843.6
