datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-03-24 00:25:00 UTC,77.41.190.0,77.41.190.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,106.92,1320.42,1121.91
2021-03-24 00:40:00 UTC,145.255.8.0,145.255.8.0/23,24955,RU,"JSC ""Ufanet""",ORG-ZS2-RIPE,4,6465.52,7042.25,7042.25
2021-03-24 00:40:00 UTC,176.59.141.0,176.59.128.0/19,41330,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,112.61,2008.03,2215.66
2021-03-24 00:45:00 UTC,37.20.85.0,37.20.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2606.43,2469.14,2624.67
2021-03-24 00:45:00 UTC,176.59.139.0,176.59.128.0/19,41330,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,114.66,1221.0,1684.45
2021-03-24 00:45:00 UTC,192.190.19.0,192.190.19.0/24,54133,CA,UnmeteredInternet.com,BL-169-ARIN,4,1119.82,761.81,953.59
2021-03-24 00:50:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,109.11,1655.63,1723.15
2021-03-24 01:00:00 UTC,212.7.247.0,212.7.224.0/19,21453,RU,Flex Ltd.,ORG-FI3-RIPE,4,8645.53,9584.66,8670.52
2021-03-24 01:25:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,98.16,1513.62,1112.76
2021-03-24 01:25:00 UTC,62.217.185.0,62.217.184.0/21,41275,RU,Lovitel LLC,ORG-LL24-RIPE,4,10791.37,6521.74,4329.0
2021-03-24 01:35:00 UTC,37.29.40.0,37.29.40.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,111.95,1853.0,1512.1
2021-03-24 01:55:00 UTC,2a00:1fa3:500::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,1313.49,935.45,1171.42
