datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-03-25 00:30:00 UTC,2a00:1fa3:541::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,106.95,1333.93,1277.14
2021-03-25 00:30:00 UTC,2a00:1fa3:55e::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,112.45,1086.96,1089.72
2021-03-25 00:35:00 UTC,94.25.231.0,94.25.224.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,106.98,1972.39,2626.97
2021-03-25 00:35:00 UTC,94.25.231.0,94.25.224.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,112.66,1510.57,1274.97
2021-03-25 00:40:00 UTC,80.83.234.0,80.83.234.0/24,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,88.8,344.23,226.93
2021-03-25 00:40:00 UTC,89.113.102.0,89.113.102.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,109.61,326.3,1165.05
2021-03-25 00:45:00 UTC,94.25.231.0,94.25.224.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,95.72,2814.26,2493.77
2021-03-25 00:45:00 UTC,94.25.231.0,94.25.224.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,119.47,1378.04,2493.77
2021-03-25 00:45:00 UTC,2605:6400:10::,2605:6400:10::/48,53667,US,FranTech Solutions,SYNDI-5-ARIN,4,714.29,468.75,638.3
2021-03-25 01:00:00 UTC,94.25.231.0,94.25.224.0/21,31213,RU,PJSC MegaFon,ORG-OM1-RIPE,4,115.21,2192.98,2459.02
2021-03-25 01:05:00 UTC,37.204.49.0,37.204.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,18181.82,5747.13,19480.52
2021-03-25 01:10:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,98.66,1299.83,1694.92
2021-03-25 01:35:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,97.89,1487.36,1543.21
2021-03-25 02:00:00 UTC,37.20.85.0,37.20.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2364.07,2162.94,2260.74
2021-03-25 02:05:00 UTC,89.113.102.0,89.113.102.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,93.84,983.93,396.51
2021-03-25 02:05:00 UTC,2a00:1fa3:565::,2a00:1fa3::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,115.53,782.06,1049.69
2021-03-25 02:15:00 UTC,94.140.139.0,94.140.139.0/24,25086,RU,MTS PJSC,ORG-ZM1-RIPE,4,11538.46,3562.95,4838.71
2021-03-25 02:20:00 UTC,109.252.50.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,16853.93,4201.68,20979.02
2021-03-25 02:25:00 UTC,213.138.85.0,213.138.64.0/19,15774,RU,Joint Stock Company TransTeleCom,ORG-CJSC19-RIPE,4,93.04,7177.03,8695.65
2021-03-25 02:30:00 UTC,176.197.126.0,176.196.0.0/15,39927,RU,E-Light-Telecom Ltd.,ORG-EA385-RIPE,4,104.24,2892.96,3141.36
2021-03-25 02:40:00 UTC,81.9.113.0,81.9.113.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,65.3,1195.7,965.56
2021-03-25 02:45:00 UTC,37.29.88.0,37.29.88.0/24,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,101.25,1096.49,1280.41
2021-03-25 02:45:00 UTC,2a00:1370:8125::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,6493.51,6666.67,7092.2
2021-03-25 03:00:00 UTC,85.26.164.0,85.26.164.0/23,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,112.86,1499.25,2364.07
2021-03-25 03:05:00 UTC,89.113.141.0,89.113.136.0/21,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,112.36,1788.91,1833.74
